id,created_at,text
849636868052275200,2017-04-05 14:56:29,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Stormy weather in Shortville"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848988730585096192,2017-04-03 20:01:01,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""DaveLeeBBC verge Coal is dying due to nat gas fracking Its basically dead"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848943072423497728,2017-04-03 16:59:35,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Lexxxzis Its just a helicopter in helicopters clothing"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848935705057280001,2017-04-03 16:30:19,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""verge It wont matter"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848416049573658624,2017-04-02 6:05:23,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""SuperCoolCube Pretty good"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848415731502923777,2017-04-02 6:04:07,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Why did we waste so much time developing silly rockets Damn you aliens So obtuse You have all this crazy tech but cant speak English"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848415356263702528,2017-04-02 6:02:38,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Technology breakthrough turns out chemtrails are actually a message from time traveling aliens describing the secret of teleportation"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848398971139629057,2017-04-02 4:57:31,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT OpenAI Weve created the worlds first Spamdetecting AI trained entirely in simulation and deployed on a physical robot httptco"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848244577521647616,2017-04-01 18:44:01,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT ProfBrianCox This is extremely important from elonmusk and SpaceX reusable rockets bring us MUCH closer to becoming a spacefaring"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848243350993895424,2017-04-01 18:39:09,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""adamsbj Def P100D with Ludicrous although the rocket starts going a lot faster after that"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
